Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
APPGE	792 	2.70	419 	1.06	343 	1.94	388 	1.20	246 	1.40	261 	1.46	442 	1.69	2891	1.60	7	318.63	0.14	0.15	
AT	1573 	5.36	2247 	5.70	921 	5.21	1614 	5.00	897 	5.09	1104 	6.19	1403 	5.36	9759	5.41	7	40.37	0.03	0.03	
AT1	590 	2.01	926 	2.35	512 	2.90	735 	2.28	369 	2.09	486 	2.73	550 	2.10	4168	2.31	7	58.38	0.05	0.05	
BCL21	5 	0.02	7 	0.02	1 	0.01	2 	0.01	9 	0.05	4 	0.02	6 	0.02	34	0.02	7	12.97	0.22	0.24	
BCL22	0	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	4.92	0.68	0.76	
CC	1336 	4.55	1924 	4.88	813 	4.60	1575 	4.88	754 	4.28	654 	3.67	991 	3.79	8047	4.46	7	84.92	0.04	0.05	
CCB	48 	0.16	83 	0.21	49 	0.28	63 	0.20	15 	0.09	16 	0.09	51 	0.19	325	0.18	7	31.95	0.12	0.13	
CS	160 	0.54	222 	0.56	78 	0.44	152 	0.47	59 	0.33	51 	0.29	206 	0.79	928	0.51	7	72.01	0.11	0.12	
CS21	41 	0.14	36 	0.09	35 	0.20	7 	0.02	53 	0.30	17 	0.10	5 	0.02	194	0.11	7	117.57	0.31	0.34	
CS22	1 	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	1 	0.01	2 	0.01	6	0.00	5	4.94	0.33	0.36	
CS31	3 	0.01	1 	0.00	0	0.00	1 	0.00	0	0.00	2 	0.01	1 	0.00	8	0.00	5	6.58	0.36	0.40	
CSA	43 	0.15	82 	0.21	20 	0.11	42 	0.13	30 	0.17	28 	0.16	48 	0.18	293	0.16	7	11.04	0.08	0.09	
CSN	73 	0.25	69 	0.17	16 	0.09	39 	0.12	18 	0.10	19 	0.11	46 	0.18	280	0.16	7	30.49	0.14	0.16	
CST	193 	0.66	314 	0.80	122 	0.69	148 	0.46	162 	0.92	142 	0.80	136 	0.52	1217	0.67	7	61.47	0.09	0.11	
CSW	13 	0.04	9 	0.02	8 	0.05	8 	0.02	7 	0.04	3 	0.02	7 	0.03	55	0.03	7	5.79	0.15	0.17	
CSW31	1 	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	1 	0.00	3	0.00	3	5.55	0.59	0.66	
DA	8 	0.03	35 	0.09	11 	0.06	17 	0.05	21 	0.12	15 	0.08	30 	0.11	137	0.08	7	24.35	0.18	0.20	
DA1	9 	0.03	33 	0.08	3 	0.02	7 	0.02	2 	0.01	2 	0.01	12 	0.05	68	0.04	7	31.41	0.30	0.33	
DA2	12 	0.04	50 	0.13	18 	0.10	25 	0.08	6 	0.03	9 	0.05	34 	0.13	154	0.09	7	31.39	0.20	0.22	
DAR	133 	0.45	90 	0.23	49 	0.28	81 	0.25	36 	0.20	57 	0.32	48 	0.18	494	0.27	7	46.04	0.12	0.14	
DAT	5 	0.02	12 	0.03	1 	0.01	4 	0.01	2 	0.01	1 	0.01	4 	0.02	29	0.02	7	7.81	0.20	0.23	
DB	92 	0.31	161 	0.41	49 	0.28	104 	0.32	97 	0.55	35 	0.20	76 	0.29	614	0.34	7	42.29	0.10	0.12	
DB2	1 	0.00	8 	0.02	3 	0.02	5 	0.02	2 	0.01	4 	0.02	9 	0.03	32	0.02	7	9.23	0.19	0.21	
DD	30 	0.10	60 	0.15	19 	0.11	50 	0.15	24 	0.14	26 	0.15	68 	0.26	277	0.15	7	24.78	0.10	0.11	
DD1	170 	0.58	313 	0.79	91 	0.52	163 	0.51	125 	0.71	157 	0.88	186 	0.71	1205	0.67	7	45.28	0.09	0.10	
DD2	78 	0.27	114 	0.29	62 	0.35	75 	0.23	52 	0.30	45 	0.25	98 	0.37	524	0.29	7	13.51	0.06	0.07	
DDQ	70 	0.24	141 	0.36	32 	0.18	100 	0.31	51 	0.29	40 	0.22	94 	0.36	528	0.29	7	24.25	0.09	0.10	
DDQGE	1 	0.00	5 	0.01	1 	0.01	2 	0.01	2 	0.01	1 	0.01	4 	0.02	16	0.01	7	3.74	0.23	0.25	
DDQV	7 	0.02	5 	0.01	1 	0.01	0	0.00	4 	0.02	2 	0.01	5 	0.02	24	0.01	6	13.17	0.26	0.29	
DDQV31	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
EX	33 	0.11	57 	0.14	24 	0.14	33 	0.10	15 	0.09	28 	0.16	42 	0.16	232	0.13	7	9.22	0.09	0.10	
FO	21 	0.07	78 	0.20	13 	0.07	19 	0.06	18 	0.10	6 	0.03	25 	0.10	180	0.10	7	50.34	0.22	0.24	
FU	1 	0.00	4 	0.01	2 	0.01	591 	1.83	1 	0.01	2 	0.01	4 	0.02	605	0.34	7	1909.16	0.80	0.88	
FW	0	0.00	2 	0.01	0	0.00	0	0.00	2 	0.01	0	0.00	4 	0.02	8	0.00	3	14.19	0.54	0.60	
GE	110 	0.37	161 	0.41	85 	0.48	130 	0.40	85 	0.48	132 	0.74	116 	0.44	819	0.45	7	35.84	0.07	0.08	
IF	446 	1.52	558 	1.42	261 	1.48	487 	1.51	347 	1.97	349 	1.96	299 	1.14	2747	1.52	7	72.09	0.06	0.06	
II	1752 	5.97	2631 	6.67	1098 	6.22	2114 	6.55	1135 	6.44	1252 	7.02	1651 	6.31	11633	6.45	7	25.66	0.02	0.02	
II21	70 	0.24	153 	0.39	37 	0.21	49 	0.15	46 	0.26	35 	0.20	99 	0.38	489	0.27	7	55.55	0.15	0.17	
II22	1 	0.00	4 	0.01	1 	0.01	0	0.00	0	0.00	0	0.00	1 	0.00	7	0.00	4	8.15	0.40	0.44	
II31	23 	0.08	42 	0.11	13 	0.07	39 	0.12	15 	0.09	17 	0.10	33 	0.13	182	0.10	7	6.40	0.08	0.09	
II32	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
II33	6 	0.02	22 	0.06	4 	0.02	12 	0.04	5 	0.03	4 	0.02	6 	0.02	59	0.03	7	9.27	0.18	0.20	
II41	0	0.00	8 	0.02	0	0.00	3 	0.01	0	0.00	0	0.00	3 	0.01	14	0.01	3	18.79	0.46	0.51	
IO	691 	2.35	1114 	2.83	480 	2.72	880 	2.73	479 	2.72	546 	3.06	664 	2.54	4854	2.69	7	27.04	0.03	0.03	
IW	166 	0.57	229 	0.58	143 	0.81	263 	0.82	107 	0.61	134 	0.75	173 	0.66	1215	0.67	7	27.06	0.07	0.08	
JJ	2514 	8.56	4150 	10.52	1525 	8.63	3306 	10.25	1579 	8.96	1520 	8.53	2537 	9.69	17131	9.50	7	127.96	0.04	0.05	
