Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
A1.1.1	525 	1.79	611 	1.55	356 	2.02	475 	1.47	276 	1.57	286 	1.60	365 	1.39	2894	1.60	7	35.19	0.04	0.05	
A1.1.1-	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	6.08	0.78	0.87	
A1.1.2	36 	0.12	63 	0.16	26 	0.15	36 	0.11	18 	0.10	20 	0.11	49 	0.19	248	0.14	7	10.51	0.09	0.10	
A1.2	2 	0.01	1 	0.00	1 	0.01	2 	0.01	0	0.00	0	0.00	0	0.00	6	0.00	4	5.87	0.39	0.44	
A1.2+	7 	0.02	33 	0.08	9 	0.05	45 	0.14	35 	0.20	9 	0.05	36 	0.14	174	0.10	7	57.14	0.24	0.27	
A1.2-	0	0.00	3 	0.01	0	0.00	0	0.00	1 	0.01	0	0.00	6 	0.02	10	0.01	3	18.98	0.54	0.60	
A1.3+	1 	0.00	6 	0.02	1 	0.01	9 	0.03	0	0.00	5 	0.03	1 	0.00	23	0.01	6	17.41	0.37	0.41	
A1.3-	0	0.00	4 	0.01	1 	0.01	0	0.00	0	0.00	0	0.00	1 	0.00	6	0.00	3	10.26	0.54	0.60	
A1.4	25 	0.09	30 	0.08	9 	0.05	27 	0.08	21 	0.12	31 	0.17	14 	0.05	157	0.09	7	21.49	0.13	0.15	
A1.4+	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
A1.4-	0	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	4.92	0.68	0.76	
A1.5.1	36 	0.12	137 	0.35	27 	0.15	108 	0.33	63 	0.36	33 	0.19	33 	0.13	437	0.24	7	82.74	0.21	0.23	
A1.5.1+	0	0.00	3 	0.01	1 	0.01	0	0.00	0	0.00	0	0.00	1 	0.00	5	0.00	3	8.13	0.54	0.60	
A1.5.1-	5 	0.02	3 	0.01	0	0.00	2 	0.01	1 	0.01	0	0.00	1 	0.00	12	0.01	5	8.49	0.29	0.32	
A1.5.2	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	2	0.00	2	4.90	0.68	0.76	
A1.5.2+	2 	0.01	10 	0.03	1 	0.01	2 	0.01	4 	0.02	1 	0.01	3 	0.01	23	0.01	7	9.06	0.29	0.32	
A1.5.2-	2 	0.01	3 	0.01	1 	0.01	0	0.00	1 	0.01	1 	0.01	1 	0.00	9	0.00	6	3.98	0.21	0.24	
A1.6	1 	0.00	5 	0.01	0	0.00	5 	0.02	1 	0.01	0	0.00	5 	0.02	17	0.01	5	11.95	0.34	0.38	
A1.7+	75 	0.26	68 	0.17	17 	0.10	60 	0.19	17 	0.10	26 	0.15	54 	0.21	317	0.18	7	26.91	0.11	0.12	
A1.7++	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
A1.7-	28 	0.10	27 	0.07	16 	0.09	138 	0.43	4 	0.02	4 	0.02	34 	0.13	251	0.14	7	202.81	0.37	0.41	
A1.8+	82 	0.28	142 	0.36	66 	0.37	169 	0.52	68 	0.39	80 	0.45	62 	0.24	669	0.37	7	42.82	0.10	0.11	
