Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
#iwill	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
$1.25	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
%	0	0.00	9 	0.02	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	9	0.00	1	27.37	0.78	0.87	
&copy;	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
&ndash;17	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.63	0.84	0.93	
&ndash;and	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	4.63	0.90	1.00	
&ndash;parliament	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
&pound;0.5_billion	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
&pound;0.7_billion	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
&pound;0.9_billion	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
&pound;1	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	3	0.00	2	7.30	0.69	0.77	
&pound;1,000	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
