Folder	ConsManifesto2017	ConsManifesto2017_Rel_Freq	GreenManifesto2017	GreenManifesto2017_Rel_Freq	LabourManifesto2017	LabourManifesto2017_Rel_Freq	LibdemManifesto2017	LibdemManifesto2017_Rel_Freq	PlaidCymruManifesto2017	PlaidCymruManifesto2017_Rel_Freq	SNPManifesto2017	SNPManifesto2017_Rel_Freq	UKIPManifesto2017	UKIPManifesto2017_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
APPGE	538 	1.87	52 	1.77	389 	1.68	236 	1.16	125 	2.02	237 	1.21	416 	1.75	1993	1.60	7	70.80	0.08	0.08	
AT	1703 	5.91	147 	4.99	1249 	5.38	1164 	5.70	280 	4.51	1423 	7.29	1294 	5.44	7260	5.81	7	105.15	0.04	0.04	
AT1	660 	2.29	86 	2.92	543 	2.34	475 	2.32	166 	2.68	413 	2.11	501 	2.10	2844	2.28	7	15.14	0.03	0.03	
BCL21	6 	0.02	0	0.00	4 	0.02	7 	0.03	1 	0.02	2 	0.01	2 	0.01	22	0.02	6	5.86	0.20	0.20	
CC	1329 	4.61	179 	6.08	1034 	4.45	1091 	5.34	218 	3.51	704 	3.60	943 	3.96	5498	4.40	7	110.92	0.06	0.06	
CCB	72 	0.25	1 	0.03	39 	0.17	25 	0.12	6 	0.10	20 	0.10	54 	0.23	217	0.17	7	29.73	0.16	0.16	
CS	194 	0.67	7 	0.24	86 	0.37	70 	0.34	133 	2.14	73 	0.37	178 	0.75	741	0.59	7	235.66	0.21	0.22	
CS21	39 	0.14	4 	0.14	20 	0.09	14 	0.07	9 	0.15	12 	0.06	5 	0.02	103	0.08	7	28.72	0.21	0.21	
CS22	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	3.71	0.84	0.86	
CS31	2 	0.01	0	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	2 	0.01	6	0.00	4	3.62	0.26	0.26	
CSA	78 	0.27	2 	0.07	37 	0.16	26 	0.13	5 	0.08	36 	0.18	47 	0.20	231	0.18	7	22.75	0.12	0.12	
CSN	41 	0.14	1 	0.03	20 	0.09	19 	0.09	8 	0.13	32 	0.16	31 	0.13	152	0.12	7	10.50	0.11	0.11	
CST	281 	0.98	28 	0.95	188 	0.81	160 	0.78	49 	0.79	149 	0.76	95 	0.40	950	0.76	7	67.89	0.09	0.09	
CSW	4 	0.01	0	0.00	5 	0.02	7 	0.03	0	0.00	1 	0.01	4 	0.02	21	0.02	5	8.54	0.22	0.23	
