Folder	BrexitPartyManifesto2019	BrexitPartyManifesto2019_Rel_Freq	ConsManifesto2019	ConsManifesto2019_Rel_Freq	GreenManifesto2019	GreenManifesto2019_Rel_Freq	LabourManifesto2019	LabourManifesto2019_Rel_Freq	LibdemManifesto2019	LibdemManifesto2019_Rel_Freq	PlaidCymruManifesto2019	PlaidCymruManifesto2019_Rel_Freq	SNPManifesto2019	SNPManifesto2019_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
APPGE	27 	1.43	460 	2.29	249 	1.10	373 	1.50	302 	1.15	200 	1.19	290 	1.38	1901	1.42	7	129.64	0.10	0.10	
AT	121 	6.43	1114 	5.54	1276 	5.62	1298 	5.23	1463 	5.59	884 	5.28	1483 	7.04	7639	5.72	7	80.09	0.04	0.04	
AT1	47 	2.50	390 	1.94	524 	2.31	617 	2.49	660 	2.52	437 	2.61	485 	2.30	3160	2.37	7	25.52	0.04	0.04	
BCL21	0	0.00	9 	0.04	4 	0.02	3 	0.01	0	0.00	9 	0.05	4 	0.02	29	0.02	5	23.04	0.34	0.35	
CC	63 	3.35	996 	4.95	1028 	4.53	1213 	4.89	1442 	5.51	635 	3.79	809 	3.84	6186	4.64	7	114.50	0.06	0.06	
CCB	0	0.00	51 	0.25	13 	0.06	42 	0.17	41 	0.16	15 	0.09	29 	0.14	191	0.14	6	39.84	0.17	0.17	
CS	4 	0.21	119 	0.59	66 	0.29	84 	0.34	101 	0.39	60 	0.36	98 	0.47	532	0.40	7	31.05	0.10	0.10	
CS21	0	0.00	25 	0.12	22 	0.10	25 	0.10	32 	0.12	13 	0.08	13 	0.06	130	0.10	6	10.51	0.10	0.10	
CS22	0	0.00	1 	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	1 	0.00	4	0.00	3	5.68	0.50	0.50	
CS31	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	1	7.57	0.85	0.86	
CSA	0	0.00	45 	0.22	42 	0.19	31 	0.13	40 	0.15	46 	0.27	23 	0.11	227	0.17	6	27.86	0.14	0.14	
CSN	3 	0.16	26 	0.13	24 	0.11	34 	0.14	21 	0.08	35 	0.21	34 	0.16	177	0.13	7	15.27	0.12	0.12	
CST	12 	0.64	214 	1.06	149 	0.66	131 	0.53	263 	1.01	152 	0.91	195 	0.93	1116	0.84	7	65.69	0.11	0.11	
CSW	0	0.00	5 	0.02	0	0.00	7 	0.03	10 	0.04	5 	0.03	6 	0.03	33	0.02	5	14.20	0.18	0.19	
CSW31	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.54	0.83	0.84	
DA	0	0.00	18 	0.09	11 	0.05	12 	0.05	16 	0.06	18 	0.11	14 	0.07	89	0.07	6	10.20	0.13	0.13	
DA1	1 	0.05	4 	0.02	6 	0.03	2 	0.01	8 	0.03	5 	0.03	4 	0.02	30	0.02	7	5.00	0.16	0.16	
DA2	1 	0.05	15 	0.07	17 	0.07	35 	0.14	18 	0.07	5 	0.03	16 	0.08	107	0.08	7	17.17	0.14	0.14	
DAR	7 	0.37	60 	0.30	33 	0.15	41 	0.17	33 	0.13	38 	0.23	30 	0.14	242	0.18	7	26.27	0.14	0.15	
DAT	0	0.00	3 	0.01	8 	0.04	4 	0.02	3 	0.01	4 	0.02	2 	0.01	24	0.02	6	5.79	0.20	0.21	
DB	3 	0.16	44 	0.22	133 	0.59	102 	0.41	106 	0.41	62 	0.37	68 	0.32	518	0.39	7	43.82	0.11	0.11	
DB2	1 	0.05	2 	0.01	2 	0.01	5 	0.02	13 	0.05	5 	0.03	1 	0.00	29	0.02	7	15.94	0.32	0.32	
DD	2 	0.11	28 	0.14	14 	0.06	27 	0.11	32 	0.12	25 	0.15	44 	0.21	172	0.13	7	20.32	0.13	0.13	
DD1	7 	0.37	158 	0.79	172 	0.76	130 	0.52	132 	0.50	121 	0.72	138 	0.66	858	0.64	7	28.77	0.08	0.08	
DD2	3 	0.16	62 	0.31	79 	0.35	50 	0.20	61 	0.23	46 	0.27	58 	0.28	359	0.27	7	12.86	0.08	0.08	
DDQ	3 	0.16	69 	0.34	68 	0.30	39 	0.16	66 	0.25	48 	0.29	41 	0.19	334	0.25	7	22.55	0.11	0.11	
DDQGE	0	0.00	2 	0.01	1 	0.00	0	0.00	2 	0.01	1 	0.01	1 	0.00	7	0.01	5	3.78	0.24	0.25	
DDQV	0	0.00	2 	0.01	2 	0.01	3 	0.01	2 	0.01	2 	0.01	10 	0.05	21	0.02	6	12.37	0.32	0.32	
EX	3 	0.16	24 	0.12	11 	0.05	11 	0.04	31 	0.12	19 	0.11	24 	0.11	123	0.09	7	19.12	0.18	0.18	
FO	9 	0.48	12 	0.06	370 	1.63	27 	0.11	35 	0.13	17 	0.10	13 	0.06	483	0.36	7	851.77	0.60	0.61	
FU	0	0.00	0	0.00	3 	0.01	3 	0.01	1 	0.00	2 	0.01	0	0.00	9	0.01	4	8.69	0.41	0.41	
FW	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	1 	0.01	1 	0.00	3	0.00	3	4.62	0.53	0.54	
GE	9 	0.48	94 	0.47	74 	0.33	139 	0.56	143 	0.55	80 	0.48	179 	0.85	718	0.54	7	57.92	0.10	0.10	
IF	19 	1.01	273 	1.36	360 	1.59	357 	1.44	416 	1.59	267 	1.59	350 	1.66	2042	1.53	7	13.05	0.03	0.03	
II	130 	6.90	1131 	5.63	1526 	6.72	1560 	6.29	1771 	6.77	1168 	6.97	1433 	6.80	8719	6.53	7	39.95	0.03	0.03	
II21	7 	0.37	52 	0.26	66 	0.29	41 	0.17	76 	0.29	58 	0.35	59 	0.28	359	0.27	7	16.58	0.08	0.08	
