Folder	BrexitPartyManifesto2019	BrexitPartyManifesto2019_Rel_Freq	ConsManifesto2019	ConsManifesto2019_Rel_Freq	GreenManifesto2019	GreenManifesto2019_Rel_Freq	LabourManifesto2019	LabourManifesto2019_Rel_Freq	LibdemManifesto2019	LibdemManifesto2019_Rel_Freq	PlaidCymruManifesto2019	PlaidCymruManifesto2019_Rel_Freq	SNPManifesto2019	SNPManifesto2019_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
A1.1.1	32 	1.70	339 	1.69	409 	1.80	605 	2.44	463 	1.77	277 	1.65	405 	1.92	2530	1.90	7	49.49	0.06	0.06	
A1.1.2	2 	0.11	28 	0.14	41 	0.18	56 	0.23	38 	0.15	36 	0.21	52 	0.25	253	0.19	7	12.33	0.10	0.10	
A1.2	0	0.00	2 	0.01	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00	2	7.30	0.68	0.69	
A1.2+	1 	0.05	6 	0.03	7 	0.03	16 	0.06	29 	0.11	11 	0.07	13 	0.06	83	0.06	7	16.75	0.17	0.17	
A1.2-	0	0.00	0	0.00	0	0.00	2 	0.01	1 	0.00	1 	0.01	2 	0.01	6	0.00	4	5.57	0.36	0.37	
A1.3+	1 	0.05	7 	0.03	3 	0.01	2 	0.01	3 	0.01	2 	0.01	1 	0.00	19	0.01	7	8.24	0.26	0.26	
A1.3-	0	0.00	2 	0.01	0	0.00	3 	0.01	2 	0.01	1 	0.01	1 	0.00	9	0.01	5	4.62	0.25	0.25	
A1.4	2 	0.11	29 	0.14	25 	0.11	19 	0.08	34 	0.13	17 	0.10	18 	0.09	144	0.11	7	6.97	0.09	0.10	
A1.4-	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.79	0.85	0.86	
A1.5.1	4 	0.21	42 	0.21	90 	0.40	56 	0.23	81 	0.31	42 	0.25	42 	0.20	357	0.27	7	22.84	0.11	0.11	
A1.5.1+	0	0.00	0	0.00	1 	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	2	0.00	2	4.03	0.63	0.64	
A1.5.1-	1 	0.05	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	8.52	0.99	1.00	
A1.5.2	0	0.00	0	0.00	0	0.00	2 	0.01	2 	0.01	1 	0.01	0	0.00	5	0.00	3	6.85	0.49	0.50	
A1.5.2+	0	0.00	3 	0.01	3 	0.01	1 	0.00	1 	0.00	2 	0.01	1 	0.00	11	0.01	6	3.81	0.28	0.29	
A1.5.2-	0	0.00	0	0.00	2 	0.01	3 	0.01	1 	0.00	1 	0.01	3 	0.01	10	0.01	5	5.58	0.29	0.29	
A1.6	0	0.00	1 	0.00	0	0.00	1 	0.00	1 	0.00	2 	0.01	1 	0.00	6	0.00	5	3.68	0.23	0.24	
A1.7+	4 	0.21	22 	0.11	31 	0.14	26 	0.10	35 	0.13	17 	0.10	20 	0.09	155	0.12	7	4.20	0.07	0.07	
A1.7+++	0	0.00	0	0.00	3 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00	1	10.63	0.83	0.84	
A1.7-	2 	0.11	45 	0.22	41 	0.18	19 	0.08	111 	0.42	13 	0.08	23 	0.11	254	0.19	7	102.48	0.27	0.27	
A1.8+	4 	0.21	47 	0.23	108 	0.48	103 	0.42	117 	0.45	48 	0.29	63 	0.30	490	0.37	7	31.13	0.12	0.12	
A1.8-	0	0.00	4 	0.02	8 	0.04	8 	0.03	6 	0.02	4 	0.02	3 	0.01	33	0.02	6	3.70	0.13	0.13	
A1.9	1 	0.05	13 	0.06	21 	0.09	26 	0.10	13 	0.05	4 	0.02	14 	0.07	92	0.07	7	13.96	0.15	0.16	
A10+	0	0.00	23 	0.11	38 	0.17	35 	0.14	39 	0.15	27 	0.16	52 	0.25	214	0.16	6	18.29	0.09	0.09	
A10-	4 	0.21	16 	0.08	46 	0.20	31 	0.13	29 	0.11	21 	0.13	12 	0.06	159	0.12	7	23.83	0.15	0.15	
A11	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.79	0.85	0.86	
A11.1+	7 	0.37	104 	0.52	121 	0.53	130 	0.52	148 	0.57	109 	0.65	112 	0.53	731	0.55	7	5.21	0.03	0.03	
A11.1+++	0	0.00	2 	0.01	0	0.00	2 	0.01	0	0.00	3 	0.02	0	0.00	7	0.01	3	11.65	0.54	0.55	
A11.1-	0	0.00	2 	0.01	6 	0.03	5 	0.02	3 	0.01	4 	0.02	5 	0.02	25	0.02	6	3.70	0.16	0.16	
A11.2+	0	0.00	2 	0.01	3 	0.01	1 	0.00	0	0.00	2 	0.01	4 	0.02	12	0.01	5	8.23	0.31	0.32	
A11.2-	1 	0.05	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	8.52	0.99	1.00	
A12	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	1 	0.01	0	0.00	2	0.00	2	4.74	0.69	0.70	
A12+	2 	0.11	5 	0.02	13 	0.06	4 	0.02	9 	0.03	2 	0.01	4 	0.02	39	0.03	7	12.20	0.24	0.24	
A12++	2 	0.11	11 	0.05	4 	0.02	4 	0.02	3 	0.01	1 	0.01	0	0.00	25	0.02	6	23.60	0.36	0.36	
A12+++	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	1	0.00	1	3.26	0.80	0.82	
