Folder	ConsManifesto2024	ConsManifesto2024_Rel_Freq	GreenManifesto2024	GreenManifesto2024_Rel_Freq	LabourManifesto2024	LabourManifesto2024_Rel_Freq	LibdemManifesto2024	LibdemManifesto2024_Rel_Freq	PlaidCymruManifesto2024	PlaidCymruManifesto2024_Rel_Freq	ReformUKmanifesto2024	ReformUKmanifesto2024_Rel_Freq	SNPManifesto2024	SNPManifesto2024_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
APPGE	522 	2.06	233 	1.23	379 	1.59	237 	1.11	224 	1.35	108 	1.61	117 	1.50	1820	1.51	7	86.40	0.09	0.10	
AT	1389 	5.49	932 	4.90	1306 	5.49	1140 	5.34	880 	5.29	271 	4.04	501 	6.44	6419	5.32	7	48.61	0.03	0.03	
AT1	476 	1.88	489 	2.57	582 	2.44	534 	2.50	356 	2.14	97 	1.45	152 	1.95	2686	2.23	7	59.97	0.07	0.07	
BCL21	0	0.00	1 	0.01	1 	0.00	0	0.00	17 	0.10	0	0.00	2 	0.03	21	0.02	4	56.48	0.70	0.74	
BCL22	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.24	0.80	0.85	
CC	1105 	4.37	930 	4.89	1060 	4.45	1235 	5.78	705 	4.24	287 	4.28	347 	4.46	5669	4.70	7	71.52	0.05	0.05	
CCB	20 	0.08	14 	0.07	54 	0.23	14 	0.07	14 	0.08	4 	0.06	21 	0.27	141	0.12	7	47.34	0.27	0.29	
CS	121 	0.48	75 	0.39	103 	0.43	85 	0.40	63 	0.38	22 	0.33	27 	0.35	496	0.41	7	5.57	0.04	0.05	
CS21	14 	0.06	23 	0.12	20 	0.08	27 	0.13	38 	0.23	5 	0.07	6 	0.08	133	0.11	7	28.56	0.19	0.20	
CS22	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	2	0.00	2	5.96	0.74	0.78	
CS31	1 	0.00	3 	0.02	1 	0.00	0	0.00	2 	0.01	1 	0.01	0	0.00	8	0.01	5	7.25	0.40	0.42	
CSA	32 	0.13	35 	0.18	23 	0.10	77 	0.36	33 	0.20	4 	0.06	4 	0.05	208	0.17	7	62.61	0.22	0.24	
CSN	29 	0.11	19 	0.10	15 	0.06	14 	0.07	17 	0.10	4 	0.06	9 	0.12	107	0.09	7	7.04	0.12	0.13	
CST	127 	0.50	156 	0.82	116 	0.49	127 	0.59	203 	1.22	35 	0.52	52 	0.67	816	0.68	7	95.31	0.14	0.15	
CSW	6 	0.02	6 	0.03	7 	0.03	8 	0.04	2 	0.01	0	0.00	1 	0.01	30	0.02	6	6.94	0.17	0.18	
DA	6 	0.02	7 	0.04	14 	0.06	6 	0.03	12 	0.07	5 	0.07	1 	0.01	51	0.04	7	11.55	0.22	0.23	
DA1	2 	0.01	7 	0.04	5 	0.02	1 	0.00	1 	0.01	2 	0.03	3 	0.04	21	0.02	7	11.37	0.33	0.35	
DA2	3 	0.01	9 	0.05	17 	0.07	9 	0.04	14 	0.08	3 	0.04	4 	0.05	59	0.05	7	16.12	0.19	0.20	
DAR	84 	0.33	27 	0.14	45 	0.19	41 	0.19	21 	0.13	17 	0.25	11 	0.14	246	0.20	7	29.61	0.15	0.15	
DAT	3 	0.01	7 	0.04	4 	0.02	2 	0.01	2 	0.01	0	0.00	0	0.00	18	0.01	5	9.48	0.26	0.27	
DB	55 	0.22	131 	0.69	46 	0.19	91 	0.43	52 	0.31	19 	0.28	20 	0.26	414	0.34	7	90.14	0.20	0.21	
DB2	3 	0.01	4 	0.02	3 	0.01	7 	0.03	12 	0.07	3 	0.04	5 	0.06	37	0.03	7	17.04	0.29	0.31	
DD	27 	0.11	22 	0.12	18 	0.08	13 	0.06	14 	0.08	9 	0.13	11 	0.14	114	0.09	7	7.89	0.12	0.12	
DD1	157 	0.62	122 	0.64	171 	0.72	50 	0.23	157 	0.94	38 	0.57	39 	0.50	734	0.61	7	97.30	0.12	0.13	
DD2	73 	0.29	54 	0.28	56 	0.24	35 	0.16	58 	0.35	16 	0.24	16 	0.21	308	0.26	7	16.02	0.10	0.10	
DDQ	75 	0.30	30 	0.16	48 	0.20	21 	0.10	99 	0.59	4 	0.06	21 	0.27	298	0.25	7	108.51	0.24	0.26	
DDQGE	3 	0.01	0	0.00	0	0.00	1 	0.00	1 	0.01	1 	0.01	0	0.00	6	0.00	4	7.66	0.43	0.46	
DDQV	1 	0.00	1 	0.01	2 	0.01	2 	0.01	2 	0.01	0	0.00	1 	0.01	9	0.01	6	2.40	0.20	0.21	
DDQV31	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
EX	16 	0.06	25 	0.13	18 	0.08	7 	0.03	27 	0.16	5 	0.07	4 	0.05	102	0.08	7	25.41	0.21	0.23	
FO	45 	0.18	17 	0.09	23 	0.10	28 	0.13	20 	0.12	45 	0.67	9 	0.12	187	0.16	7	78.92	0.22	0.23	
FU	0	0.00	0	0.00	0	0.00	2 	0.01	1 	0.01	1 	0.01	1 	0.01	5	0.00	4	8.83	0.56	0.60	
FW	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	2 	0.03	0	0.00	3	0.00	2	11.44	0.79	0.83	
GE	106 	0.42	56 	0.29	112 	0.47	156 	0.73	86 	0.52	36 	0.54	56 	0.72	608	0.50	7	49.44	0.11	0.12	
IF	360 	1.42	324 	1.70	287 	1.21	348 	1.63	282 	1.69	95 	1.42	140 	1.80	1836	1.52	7	31.51	0.06	0.06	
II	1842 	7.28	1257 	6.61	1392 	5.85	1502 	7.03	1163 	6.99	333 	4.97	504 	6.48	7993	6.63	7	77.60	0.04	0.04	
II21	60 	0.24	56 	0.29	65 	0.27	53 	0.25	56 	0.34	11 	0.16	13 	0.17	314	0.26	7	10.75	0.07	0.07	
II22	1 	0.00	0	0.00	1 	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	3	0.00	3	3.24	0.42	0.44	
II31	30 	0.12	17 	0.09	22 	0.09	10 	0.05	29 	0.17	5 	0.07	5 	0.06	118	0.10	7	17.78	0.15	0.16	
II33	9 	0.04	7 	0.04	11 	0.05	3 	0.01	13 	0.08	1 	0.01	0	0.00	44	0.04	6	17.15	0.21	0.22	
II41	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.46	0.82	0.87	
IO	560 	2.21	509 	2.68	553 	2.32	494 	2.31	487 	2.93	104 	1.55	197 	2.53	2904	2.41	7	52.45	0.05	0.05	
IW	193 	0.76	122 	0.64	252 	1.06	220 	1.03	104 	0.63	52 	0.78	64 	0.82	1007	0.83	7	42.93	0.09	0.10	
