Folder	ConsManifesto2024	ConsManifesto2024_Rel_Freq	GreenManifesto2024	GreenManifesto2024_Rel_Freq	LabourManifesto2024	LabourManifesto2024_Rel_Freq	LibdemManifesto2024	LibdemManifesto2024_Rel_Freq	PlaidCymruManifesto2024	PlaidCymruManifesto2024_Rel_Freq	ReformUKmanifesto2024	ReformUKmanifesto2024_Rel_Freq	SNPManifesto2024	SNPManifesto2024_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
A1.1.1	434 	1.72	277 	1.46	624 	2.62	431 	2.02	284 	1.71	108 	1.61	162 	2.08	2320	1.92	7	93.19	0.09	0.09	
A1.1.1-	1 	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	3.60	0.59	0.63	
A1.1.2	26 	0.10	37 	0.19	86 	0.36	65 	0.30	29 	0.17	38 	0.57	21 	0.27	302	0.25	7	67.64	0.20	0.21	
A1.2	0	0.00	0	0.00	0	0.00	1 	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	4.65	0.68	0.73	
A1.2+	26 	0.10	14 	0.07	21 	0.09	25 	0.12	22 	0.13	6 	0.09	2 	0.03	116	0.10	7	9.99	0.10	0.11	
A1.2-	0	0.00	0	0.00	2 	0.01	2 	0.01	0	0.00	0	0.00	0	0.00	4	0.00	2	7.87	0.63	0.66	
A1.3+	7 	0.03	2 	0.01	2 	0.01	7 	0.03	0	0.00	0	0.00	1 	0.01	19	0.02	5	13.60	0.35	0.37	
A1.3-	0	0.00	1 	0.01	0	0.00	1 	0.00	1 	0.01	0	0.00	1 	0.01	4	0.00	4	5.51	0.46	0.49	
A1.4	35 	0.14	11 	0.06	46 	0.19	15 	0.07	15 	0.09	5 	0.07	9 	0.12	136	0.11	7	24.56	0.19	0.20	
A1.4+	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.24	0.80	0.85	
A1.4-	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	3.96	0.86	0.91	
A1.5.1	49 	0.19	68 	0.36	38 	0.16	54 	0.25	33 	0.20	12 	0.18	8 	0.10	262	0.22	7	26.87	0.13	0.14	
A1.5.1+	1 	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	3	0.00	3	5.56	0.54	0.57	
A1.5.1-	0	0.00	0	0.00	1 	0.00	0	0.00	1 	0.01	1 	0.01	0	0.00	3	0.00	3	6.40	0.61	0.64	
A1.5.2	1 	0.00	4 	0.02	0	0.00	1 	0.00	0	0.00	5 	0.07	2 	0.03	13	0.01	5	24.50	0.57	0.60	
A1.5.2+	3 	0.01	1 	0.01	1 	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	6	0.00	4	4.86	0.30	0.32	
A1.5.2-	0	0.00	2 	0.01	1 	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	5	0.00	4	6.26	0.40	0.43	
A1.6	1 	0.00	3 	0.02	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	5	0.00	3	8.67	0.50	0.53	
A1.7+	22 	0.09	22 	0.12	26 	0.11	39 	0.18	20 	0.12	12 	0.18	12 	0.15	153	0.13	7	10.74	0.11	0.12	
A1.7+++	0	0.00	1 	0.01	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	2	0.00	2	4.38	0.67	0.70	
A1.7-	41 	0.16	11 	0.06	67 	0.28	71 	0.33	11 	0.07	14 	0.21	13 	0.17	228	0.19	7	71.20	0.24	0.25	
A1.8+	111 	0.44	76 	0.40	72 	0.30	139 	0.65	60 	0.36	13 	0.19	17 	0.22	488	0.40	7	52.32	0.13	0.13	
A1.8-	1 	0.00	3 	0.02	1 	0.00	3 	0.01	3 	0.02	2 	0.03	1 	0.01	14	0.01	7	5.42	0.26	0.28	
A1.9	9 	0.04	14 	0.07	19 	0.08	15 	0.07	8 	0.05	4 	0.06	2 	0.03	71	0.06	7	7.60	0.14	0.15	
A10+	43 	0.17	35 	0.18	40 	0.17	21 	0.10	35 	0.21	10 	0.15	13 	0.17	197	0.16	7	9.20	0.08	0.08	
A10-	23 	0.09	25 	0.13	23 	0.10	23 	0.11	27 	0.16	8 	0.12	4 	0.05	133	0.11	7	8.74	0.10	0.11	
A11.1+	121 	0.48	114 	0.60	128 	0.54	113 	0.53	85 	0.51	35 	0.52	62 	0.80	658	0.55	7	11.67	0.05	0.05	
